id_empresa;nome_empresa;cidade_empresa;categoria_empresa;nome_google_place;latitude;longitude;endereco;categoria_pt
3e60;3e60;Rio De Janeiro, Rio de Janeiro, Brazil;3D Technology, Artificial Intelligence, Augmented Reality, Developer Platform, Virtual Reality;3e60 Soluções Imersivas;-23.0106665;-43.3050913;Av. João Carlos Machado, 380 - Sala 208 - Barra da Tijuca, Rio de Janeiro - RJ, 22621-200, Brasil;Tecnologia 3D, Inteligência artificial, Realidade aumentada, Plataforma de desenvolvedor, Realidade virtual
3p-projeto-de-produto;3P Projeto de Produto;São Leopoldo, Rio Grande do Sul, Brazil;Civil Engineering, Consulting, Internet, Management Information Systems, Project Management;3P Projeto de Produtos;-29.761688;-51.1110688;Av. Feitoria, 2519 - Feitoria, São Leopoldo - RS, 93022-000, Brasil;Engenharia civil, Consultoria, Internet, Sistemas de informação gerencial, Gerenciamento de projetos
3stamina;3stamina;São Paulo, Sao Paulo, Brazil;Information Services, Information Technology, SaaS;3Stamina;-23.5935008;-46.5255001;R. Itiberê da Cunha, 84 - Vila Primavera, São Paulo - SP, 03390-070, Brasil;Serviços de informação, Tecnologia da informação, SaaS
3tc-isolamento;3TC Isolamento;Contagem, Minas Gerais, Brazil;B2B, B2C, Building Material, Construction, E-Commerce;3TC Isolamento;-19.930625;-44.05624299999999;R. Sumara, 855 - Novo Eldorado, Contagem - MG, 32341-300, Brasil;B2B, B2C, Material de construção, Construção, Comércio eletrônico
3wideclub-automobilismo-virtual;3WideClub Automobilismo Virtual;Curitiba, Parana, Brazil;Advertising, Automotive, B2B, B2C, Digital Entertainment;;;;;Publicidade, Automotivo, B2B, B2C, Entretenimento digital
3xbit;3xbit;Campina, Sao Paulo, Brazil;B2C, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Marketplace;Threexbit Serviços Digitais S/A;-22.8236547;-47.03491289999999;R. Cumarú, 148 - Alphaville Empresarial, Campinas - SP, 13098-324, Brasil;B2C, Bitcoin, Blockchain, Criptomoeda, Serviços Financeiros, FinTech, Marketplace
400g;400g;Porto Alegre, Rio Grande do Sul, Brazil;Agriculture, Delivery, Farming, Food Delivery;400g - Benefício corporativo de entrega de frutas frescas;-30.0366678;-51.2218563;R. Sofia Veloso, 101 - Cidade Baixa, Porto Alegre - RS, 90050-140, Brasil;Agricultura, Entrega, Agricultura, Entrega de Alimentos
4advisory;4Advisory;Belém, Para, Brazil;Consulting, Financial Services, Information Technology;4Advisory;-1.4412921;-48.4922467;Av. Visc. de Souza Franco - Reduto, Belém - PA, 66053-000, Brasil;Consultoria, Serviços Financeiros, Tecnologia da Informação
4clinics;4Clinics;São Paulo, Sao Paulo, Brazil;Computer Vision, Health Care, Information Technology, SaaS, Wellness;4Clinics;-23.571093;-46.6451754;Av. Paulista, 37 - Bela Vista, São Paulo - SP, 01311-000, Brasil;Visão computacional, Assistência médica, Tecnologia da informação, SaaS, Bem-estar
4dmais;4Dmais;São Paulo, Sao Paulo, Brazil;Augmented Reality, EdTech, Education, Software, Virtual Reality;4Dmais;-23.5541769;-46.6622368;Av. Angélica, 2529 - Consolação, São Paulo - SP, 01302-001, Brasil;Realidade Aumentada, EdTech, Educação, Software, Realidade Virtual
4milk;4milk;Belo Horizonte, Minas Gerais, Brazil;AgTech, Farming, Mobile Apps;;;;;AgTech, Agricultura, Aplicativos móveis
4mm-inovações-em-negócios;4MM Inovações em Negócios;Uberlândia, Minas Gerais, Brazil;Consulting;4MM Inovações em Negócios;-18.9310369;-48.2861399;Green Business Place - Av. Rondon Pacheco, 635 - Sala 501 - Tabajaras, Uberlândia - MG, 38400-242, Brasil;Consultando
4move;4move;São Paulo, Sao Paulo, Brazil;Apps, Finance, FinTech, Mobile, Ride Sharing;Academia 4Move;-23.5256019;-46.5042833;R. Itinguçú, 1121 - Vila Ré, São Paulo - SP, 03658-010, Brasil;Aplicativos, Finanças, FinTech, Celular, Ride Sharing
4por100;4POR100;Porto Alegre, Rio Grande do Sul, Brazil;Business Development, Information Technology, Software;4POR100;-30.058816;-51.17316599999999;Av. Ipiranga, 6681 - 212 - Partenon, Porto Alegre - RS, 90619-900, Brasil;Desenvolvimento comercial, Tecnologia da informação, Software
4quality-tecnologia;4Quality Tecnologia;Brasília, Rio Grande do Norte, Brazil;Information Technology, Project Management, Software;;;;;Tecnologia da informação, Gerenciamento de projetos, Software
4shark;4SHARK;São Paulo, Sao Paulo, Brazil;SaaS, Sales, Sales Automation;;;;;SaaS, Vendas, Automação de Vendas
4vants;4VANTS;Curitiba, Parana, Brazil;Artificial Intelligence, Intelligent Systems, Machine Learning;4VANTS;-25.4348274;-49.2748347;Rua Emiliano Perneta, 297 - Centro, Curitiba - PR, 80010-050, Brasil;Inteligência Artificial, Sistemas Inteligentes, Aprendizado de Máquina
4you2;4YOU2;São Paulo, Sao Paulo, Brazil;E-Learning, EdTech, Education, Social Entrepreneurship, Software;4YOU2 Idiomas - Santana;-23.5022947;-46.6219154;R. Dr. Gabriel Piza, 428 - Santana, São Paulo - SP, 02036-011, Brasil;E-Learning, EdTech, Educação, Empreendedorismo Social, Software
4yousee;4YouSee;Belo Horizonte, Minas Gerais, Brazil;Information Technology, Internet, Software;4YouSee Digital Signage;-19.9315223;-43.9708631;R. Contendas, 255 - Alto Barroca, Belo Horizonte - MG, 30431-012, Brasil;Tecnologia da informação, Internet, Software
55-delivery;55 Delivery;Cuiabá, Mato Grosso, Brazil;B2B, Delivery, Retail, SaaS, Wholesale;Brasileirinho Delivery Cuiaba;-15.6268452;-56.0803846;Av. Couto Magalhães, 21 - Grande Terceiro, Cuiabá - MT, 78065-730, Brasil;B2B, Entrega, Varejo, SaaS, Atacado
55social;55social;São Paulo, Sao Paulo, Brazil;Marketing, Social Media, Software;;;;;Marketing, Mídia social, Software
5b;5B;Itajaí, Santa Catarina, Brazil;Art, Events, Marketing, Marketplace, Music, Online Portals, Sales;Porto de Itajaí;-26.9012915;-48.668431;R. Blumenau, 5 - São João, Itajaí - SC, 88305-101, Brasil;Arte, Eventos, Marketing, Mercado, Música, Portais Online, Vendas
6ps-group;6PS Group;João Pessoa, Bahia, Brazil;Apps, Consulting, Mobile, Product Design, Web Development;;;;;Aplicativos, Consultoria, Celular, Design de produtos, Desenvolvimento Web
789-trip;789 Trip;São Paulo, Sao Paulo, Brazil;Business Travel, Hotel, Tourism, Travel, Travel Accommodations;789 TRIP - VIAGENS SEM TAXAS DE RESERVAS;-23.5691525;-46.6510095;Alameda Jaú, 48 - Jardim Paulista, São Paulo - SP, 01420-000, Brasil;Viagem de Negócios, Hotel, Turismo, Viagem, Acomodações para Viagem
85-labs;85 Labs;Fortaleza, Mato Grosso do Sul, Brazil;Consulting;;;;;Consultando
88i;88i;São Paulo, Sao Paulo, Brazil;Blockchain, Financial Services, FinTech, Insurance;São Paulo;-23.5505199;-46.63330939999999;São Paulo, SP, Brasil;Blockchain, Serviços Financeiros, FinTech, Seguros
99contratos;99Contratos;São Paulo, Sao Paulo, Brazil;Consulting, Information Services;99Contratos;-23.5410574;-46.6876898;R. Havaí, 533 - Sumaré, São Paulo - SP, 01259-000, Brasil;Consultoria, Serviços de informação
99freelas;99Freelas;Brasil, Sao Paulo, Brazil;Freelance, Internet, Web Design;;;;;Freelancer, Internet, Web Design
99jobs;99jobs;São Paulo, Sao Paulo, Brazil;Analytics, Big Data, Enterprise Software, Human Resources, Recruiting, SaaS, Social Recruiting;99jobs;-23.562407;-46.654272;Av. Paulista, 1374 - Bela Vista, São Paulo - SP, 01310-100, Brasil;Análise, Big Data, Software empresarial, Recursos humanos, Recrutamento, SaaS, Recrutamento social
99motos;99motos;São Paulo, Sao Paulo, Brazil;Apps, Logistics;;;;;Aplicativos, Logística
99taxis;99;São Paulo, Sao Paulo, Brazil;Android, Car Sharing, Internet, iOS, Mobile, SaaS;Rota 99;-23.5656005;-46.6907723;R. Teodoro Sampaio, 2363 - Pinheiros, São Paulo - SP, 05406-200, Brasil;Android, Compartilhamento de carro, Internet, iOS, Celular, SaaS
a-vida-feita-de-desconto;A vida é feita de Desconto;São Paulo, Sao Paulo, Brazil;Consumer, Coupons, Facebook;A vida é feita de Desconto;-23.6213485;-46.6805376;R. Barão do Triunfo, 835 - Campo Belo, São Paulo - SP, 04602-004, Brasil;Consumidor, Cupons, Facebook
a3data;A3Data;Belo Horizonte, Minas Gerais, Brazil;Artificial Intelligence, Big Data, Information Technology, Machine Learning, Software;A3Data;-19.9212971;-43.9592765;Rua Jaceguai, 208 - Prado, Belo Horizonte - MG, 30411-040, Brasil;Inteligência Artificial, Big Data, Tecnologia da Informação, Machine Learning, Software
aatag;aaTag;Sorocaba, Sao Paulo, Brazil;Customer Service, Information Technology, Loyalty Programs, Social Media, Software;AATAG;-23.5215233;-47.4633097;R. José Maria Barbosa, 31 - Jardim Portal da Colina, Sorocaba - SP, 18047-380, Brasil;Atendimento ao cliente, Tecnologia da informação, Programas de fidelidade, Mídias sociais, Software
aaura;aAura;São Paulo, Sao Paulo, Brazil;E-Commerce, Internet;aaura vss;23.053608;72.5176513;Anushruti Tower, AAURA VSS Life Science Pvt. Ltd. C/3/205, Thaltej Cross road, near jain Temple, Ahmedabad, Gujarat 380059, Índia;Comércio Eletrônico, Internet
abc-educação;ABC Educação;São Paulo, Sao Paulo, Brazil;Communities, Education, Information Technology;Escola de Educação Infantil ABC;-23.5053025;-46.5747265;R. Osaka, 754 - Jardim Japao, São Paulo - SP, 02124-040, Brasil;Comunidades, Educação, Tecnologia da Informação
abdala-siqueira-pellegrino-sociedade-de-advogados;Abdala, Siqueira & Pellegrino Sociedade de Advogados;Campina, Sao Paulo, Brazil;Consulting, Consumer, Legal, Real Estate;Abdala, Siqueira & Lourenço Sociedade de Advogados;-22.8956766;-47.060641;Av. Dona Libânia, 2191 - Centro, Campinas - SP, 13015-090, Brasil;Consultoria, Consumidor, Jurídico, Imóveis
abitat;Abitat;Salvador, Sao Paulo, Brazil;B2B, Construction, Hardware, Software, Sustainability;ABITAT;-12.9696605;-38.5129215;Av. da França, 393 - 2º andar - Comercio, Salvador - BA, 40010-010, Brasil;B2B, Construção, Hardware, Software, Sustentabilidade
abler-recrutamento-digital;Abler Recrutamento Digital;Curitiba, Parana, Brazil;B2B, B2C, Recruiting, SaaS, Software;Abler Recrutamento Digital;-25.4348274;-49.2748347;Rua Emiliano Perneta, 297 - 16º Andar, Sala 163 - Centro, Curitiba - PR, 80010-050, Brasil;B2B, B2C, Recrutamento, SaaS, Software
abreast-prospecção-corporativa;Abreast - Prospecção Corporativa;Porto Alegre, Rio Grande do Sul, Brazil;B2B, Business Development, Customer Service, Marketing, Sales;;;;;B2B, Desenvolvimento comercial, Atendimento ao cliente, Marketing, Vendas
abril-educacao;Somos Educação;São Paulo, Sao Paulo, Brazil;Education, Higher Education, Primary Education, Secondary Education, Universities;SOMOS Educação;-23.566194;-46.6517657;Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01310-100, Brasil;Educação, Educação Superior, Educação Primária, Educação Secundária, Universidades
abstartups;Abstartups;São Paulo, Sao Paulo, Brazil;Non Profit;Associação Brasileira de Startups;-23.5966547;-46.6869044;Alameda Vicente Pinzon, 54 - 7º Andar - Vila Olímpia, São Paulo - SP, 04547-130, Brasil;sem Fins Lucrativos
abuze;Abuze;Curitiba, Parana, Brazil;E-Commerce, Retail, Retail Technology;Abuze Moda Feminina;-25.4340699;-49.2729389;R. Des. Westphalen, 108 - Box 18 - Centro, Curitiba - PR, 80010-110, Brasil;Comércio eletrônico, Varejo, Tecnologia de varejo
academia-do-universitário;Academia do Universitário;Rio De Janeiro, Rio de Janeiro, Brazil;Education, Employment, Training;Academia do Universitário;-22.9073598;-43.1751797;Av. Alm. Barroso, 81 - Centro, Rio de Janeiro - RJ, 20031-004, Brasil;Educação, Emprego, Treinamento
academia-gastronômica;Academia Gastronômica;Pôrto Seguro, Bahia, Brazil;E-Commerce, Education, Information Services;Accademia Gastronomica;-23.6037622;-46.670967;R. Inhambu, 1126 - Moema, São Paulo - SP, 04520-013, Brasil;Comércio Eletrônico, Educação, Serviços de Informação
academia-pme;Academia PME;Araraquara, Sao Paulo, Brazil;E-Learning, EdTech, Education, Internet, Software;Academia PME;-21.7976488;-48.1746417;Av. 7 de Setembro, 371 - Centro, Araraquara - SP, 14800-390, Brasil;E-Learning, EdTech, Educação, Internet, Software
academiasweb;Academiasweb;São Paulo, Sao Paulo, Brazil;Fitness, Search Engine, Wellness;;;;;Fitness, Motor de busca, Bem-estar
accentix;Accentix;Barueri, Sao Paulo, Brazil;Analytics, Big Data, Security;Accentix;-23.5010495;-46.8419557;Alameda Araguaia, 2044 - Tamboré, Barueri - SP, 06455-000, Brasil;Análise, Big Data, Segurança
accera-2;Accera;São Paulo, Sao Paulo, Brazil;Business Intelligence, Information Services, Information Technology, Predictive Analytics;ACCERA;-23.592572;-46.682146;R. Min. Jesuíno Cardoso, 454 - 9º andar - Vila Olímpia, São Paulo - SP, 04544-051, Brasil;Inteligência de negócios, Serviços de informação, Tecnologia da informação, Análise preditiva
accerta;Accerta;Belo Horizonte, Minas Gerais, Brazil;Employment, Recruiting, Retail;Acerta Pré-Vestibular;-19.9223781;-43.9406425;Rua dos Goitacazes, 386 - Centro, Belo Horizonte - MG, 30190-050, Brasil;Emprego, Recrutamento, Varejo
accessone-gestão-de-identidades-e-acessos;AccessOne - Gestão de Identidades e Acessos;Fortaleza, Mato Grosso do Sul, Brazil;B2B, Identity Management, Information and Communications Technology (ICT), SaaS, Telecommunications;;;;;B2B, Gerenciamento de identidades, Tecnologia da informação e comunicação (TIC), SaaS, Telecomunicações
accountfy;Accountfy;São Conrado, Rio de Janeiro, Brazil;Accounting, Financial Services, Information Technology, SaaS, Software;Accountfy;-23.5966452;-46.6869082;Alameda Vicente Pinzon, 54 - 10º andar - Vila Olímpia, São Paulo - SP, 04547-130, Brasil;Contabilidade, Serviços financeiros, Tecnologia da informação, SaaS, Software
aceitafacil-pagamentos;aceitaFacil Pagamentos;São Paulo, Sao Paulo, Brazil;Payments, Software, Subscription Service;;;;;Pagamentos, Software, Serviço de assinatura
acelera-mei;Acelera MEI;Santa Maria, Rio Grande do Sul, Brazil;Apps, Freelance, Professional Services;;;;;Aplicativos, Freelance, Serviços Profissionais
acelerastartups-com;AceleraStartups.com;Belém, Paraiba, Brazil;Automotive, Enterprise Software;;;;;Automotivo, Software corporativo
acesso-2;Acesso;São Paulo, Sao Paulo, Brazil;Credit Cards, Financial Services, Online Portals, Payments;Acesso;-23.5618691;-46.6746545;Av. Rebouças, 1368 - Pinheiros, São Paulo - SP, 05402-100, Brasil;Cartões de Crédito, Serviços Financeiros, Portais Online, Pagamentos
acesso-digital;Acesso Digital;São Paulo, Sao Paulo, Brazil;Information Technology;Acesso Digital;-23.604151;-46.692235;10º Centro Empresarial e Cultural João Domingues de Araújo, Praça Gen. Gentil Falcão, 108 - Brooklin Novo, São Paulo - SP, 04571-150, Brasil;Tecnologia da informação
acg-business-partners;ACG Business Partners;São Paulo, Sao Paulo, Brazil;Consulting, Finance, Human Resources, Innovation Management, Management Consulting;Business Partners Consulting;-23.6275011;-46.6992821;R. Henri Dunant, 873 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04709-110, Brasil;Consultoria, Finanças, Recursos Humanos, Gestão da Inovação, Consultoria de Gerenciamento
achala;AchaLa;Rio De Janeiro, Rio de Janeiro, Brazil;Advertising, Classifieds, Information Technology, Internet, Software;Pampa de Achala;-31.682603;-64.837189;Pampa de Achala, Córdova, Argentina;Publicidade, Classificados, Tecnologia da informação, Internet, Software
achei-o-lar;Achei o Lar;Canoas, Rio Grande do Sul, Brazil;Information Technology, Real Estate, Rental Property, Search Engine, Software;Achei o Lar;38.5483537;-7.911798800000001;R. Circular Norte do Parque Industrial 7005, 7005-841 Évora, Portugal;Tecnologia da informação, Imóveis, Aluguel de imóveis, Motor de busca, Software
achieve-leap;Achieve Leap;São Paulo, Sao Paulo, Brazil;Advertising, E-Commerce, Information Technology, Internet;Achieve Leap;-22.833102;-47.0771536;Av. Dr. Romeu Tórtima - Jardim Santa Genebra, Campinas - SP, 13083-897, Brasil;Publicidade, Comércio Eletrônico, Tecnologia da Informação, Internet
achou-servicos;Achou Servicos;Florianópolis, Santa Catarina, Brazil;Contact Management, Professional Networking, Social Network;Achou Comércio | Seu Portal de Negócios e Serviços;-25.4450486;-49.2941297;R. Bpo. Dom José, 2233 - Batel, Curitiba - PR, 80240-001, Brasil;Gerenciamento de contatos, Rede profissional, Rede social
acombê;Acombê;Belo Horizonte, Minas Gerais, Brazil;E-Commerce, Information Technology, Internet, Retail, Software;BH Shopping;-19.9746033;-43.9436579;BR-356, 3049 - Belvedere, Belo Horizonte - MG, 30320-900, Brasil;Comércio Eletrônico, Tecnologia da Informação, Internet, Varejo, Software
acordo-certo;Acordo Certo;São Paulo, Sao Paulo, Brazil;Debt Collections, Financial Services, FinTech;Acordo Certo;-23.5653481;-46.69306090000001;Rua Cardeal Arcoverde, 2365 - 8o Andar - Pinheiros, São Paulo - SP, 05407-003, Brasil;Cobrança de dívidas, Serviços financeiros, FinTech
acsystems;ACSystems;São Paulo, Sao Paulo, Brazil;3D Technology, Internet of Things, Parking;Advanced Cyclone Systems;41.151002;-8.6289123;Rua de Vilar 235, 4050-626 Porto, Portugal;Tecnologia 3D, Internet das Coisas, Estacionamento
actio-lab;Actio Lab;Rio De Janeiro, Rio de Janeiro, Brazil;Advertising, Information Technology, Marketing;;;;;Publicidade, Tecnologia da informação, Marketing
activesales;Active Sales;Rio De Janeiro, Rio de Janeiro, Brazil;B2B, Call Center, Direct Sales, Lead Generation, Lead Management, Sales, Sales Automation;Active Sales;-22.9049225;-43.1753088;Ed. Carmo - R. do Carmo, 07 - Centro, Rio de Janeiro - RJ, 20011-020, Brasil;B2B, Call Center, Vendas diretas, Geração de leads, Gerenciamento de leads, Vendas, Automação de vendas
adclick;Adclick;São Paulo, Sao Paulo, Brazil;Advertising, Email Marketing, Lead Generation;Universidade de São Paulo;-23.5613991;-46.7307891;Butanta, São Paulo - SP, Brasil;Publicidade, Marketing por e-mail, Geração de leads
addapta;Addapta;Esteio, Rio Grande do Sul, Brazil;Employment, Human Resources, Staffing Agency;Parque de Exposições Assis Brasil;-29.8541232;-51.1846867;BR 116 KM 13 - Novo Esteio, RS, 93270-710, Brasil;Emprego, Recursos humanos, Agência de recrutamento
addvocatus;Addvocatus;São Paulo, Sao Paulo, Brazil;Information Services, Internet, Software;;;;;Serviços de informação, Internet, Software
adelle-foods;Adelle Foods;Seberi, Rio Grande do Sul, Brazil;Food and Beverage, Food Processing;Adelle Foods;-27.3517931;-53.3954454;R. Dr. Tranqüilo Damo, 209 - Santo Antônio, Frederico Westphalen - RS, 98400-000, Brasil;Alimentos e Bebidas, Processamento de Alimentos
adeus-rotina;Adeus Rotina;Porto Alegre, Rio Grande do Sul, Brazil;Family, Fitness, Health Care, Professional Services, Wellness;;;;;Família, Fitness, Assistência Médica, Serviços Profissionais, Bem-Estar
adianta-pagamentos-ltda;Adianta;São Paulo, Sao Paulo, Brazil;B2B, Finance, FinTech, Information Technology, Small and Medium Businesses, Software;;;;;B2B, Finanças, FinTech, Tecnologia da informação, Pequenas e médias empresas, Software
adimplere;Adimplere;São Paulo, Sao Paulo, Brazil;Financial Services;Adimplere;-23.5541769;-46.6622368;Av. Angélica, 2529 - Bela Vista, São Paulo - SP, 01227-200, Brasil;Serviços financeiros
adlayer;Adlayer;Marília, Sao Paulo, Brazil;Advertising, Advertising Platforms, Information Technology;;;;;Publicidade, Plataformas publicitárias, Tecnologia da informação
admatic;Admatic;Rio De Janeiro, Rio de Janeiro, Brazil;Analytics, Big Data, Digital Media, E-Commerce, Marketing Automation;Admatic;-22.897351;-43.1857477;R. Sacadura Cabral, 130 - Centro, Rio de Janeiro - RJ, 20081-262, Brasil;Análise, Big Data, Mídia Digital, Comércio Eletrônico, Automação de Marketing
admooh;adMooH;São Paulo, Sao Paulo, Brazil;Advertising, Apps, Digital Signage, Enterprise Applications, Information Technology, Marketing, Software;adMooH;-23.5539816;-46.6969831;R. Natingui, 862 - 5º andar - Vila Madalena, São Paulo - SP, 05443-001, Brasil;Publicidade, Aplicativos, Sinalização digital, Aplicativos corporativos, Tecnologia da informação, Marketing, Software
adoravel-criatura-2;Adoravel Criatura;Tijuca, Rio de Janeiro, Brazil;Collaborative Consumption, Pet, Training;Adorável Criatura;-22.9338889;-43.2466667;R. Pinto Guedes, 140 - Tijuca, Rio de Janeiro - RJ, 20511-320, Brasil;Consumo Colaborativo, Animais de Estimação, Treinamento
adoro-viajar-s-a;Adoro Viajar S/A;Curitiba, Parana, Brazil;Communities, Events, Tourism, Travel;Passeio de trem Curitiba - PR.;-25.3747559;-49.2495633;Rua Paolo Battan, 444 - Boa Vista, Curitiba - PR, 82650-290, Brasil;Comunidades, Eventos, Turismo, Viagem
adoy;Adoy;Pôrto Alegre, Mato Grosso, Brazil;Cryptocurrency, FinTech;;;;;Criptomoeda, FinTech
adroit-robotics;Adroit Robotics;São Paulo, Sao Paulo, Brazil;Analytics, Big Data, Industrial Automation, Robotics, Software;ADROIT ROBOTICS SISTEMAS INTELIGENTES LTDA.;-23.5817827;-46.6831001;R. Jerônimo da Veiga, 428 - Jardim Europa, São Paulo - SP, 04536-001, Brasil;Análise, Big Data, Automação industrial, Robótica, Software
adtsys;ADTsys Cloud Computing;Campina, Sao Paulo, Brazil;Data Center, Enterprise Software, Information Services, Information Technology, Management Information Systems;ADTsys | Somos especialistas em Cloud Computing;-22.8658769;-47.0229239;Avenida Doutor José Bonifácio Coutinho Nogueira, 150, Condomínio Galleria Plaza - Jardim Madalena, Campinas - SP, 13091-611, Brasil;Data Center, Software Corporativo, Serviços de Informação, Tecnologia da Informação, Sistemas de Informação de Gerenciamento
