OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
kiskadi;Kiskadi;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, CRM, Internet, Mobile, Retail, SaaS"
klassis;Klassis;"São Paulo, Sao Paulo, Brazil";"Apps, E-Commerce, Information Technology, Internet, Software"
klipbox;Klipbox;"São Paulo, Sao Paulo, Brazil";"Information Services, News, Software"
klooks;Klooks;"Porto Alegre, Rio Grande do Sul, Brazil";"FinTech, Market Research"
klopr;Klopr;"Recife, Bahia, Brazil";"Communities, E-Commerce, Internet"
kludo;Kludo;"São Paulo, Sao Paulo, Brazil";"Corporate Training, Gamification, Training"
kmaleon;Kmaleon;"São José Dos Campos, Sao Paulo, Brazil";"Information Services, Information Technology, SaaS, Software"
knewin;Knewin;"Florianópolis, Santa Catarina, Brazil";"Internet, News, Online Portals, Publishing, Social News"
knowledge21;Knowledge21;"Rio De Janeiro, Rio de Janeiro, Brazil";Education
kokar;Kokar;"Vitória, Piaui, Brazil";"Consumer Electronics, Internet of Things, Smart Home"
kolx-sistemas;"Kolx Sistemas";"São Paulo, Sao Paulo, Brazil";"Commercial, Real Estate, Smart Cities"
konbini-produtos-orientais;"Konbini Produtos Orientais";"São Paulo, Sao Paulo, Brazil";"Cosmetics, E-Commerce"
kondado;Kondado;"São Paulo, Sao Paulo, Brazil";"Business Intelligence, Data Integration, Data Visualization, Information Technology, Software"
konduto;Konduto;"São Paulo, Sao Paulo, Brazil";"Fraud Detection, Information Technology, Payments"
konecty;Konecty;"Porto Alegre, Rio Grande do Sul, Brazil";"CRM, Information Technology, Marketing"
konkero;Konkero;"São Paulo, Sao Paulo, Brazil";"Finance, Financial Services, Information Services"
konstit-engenharia-de-sistemas;"Konstit - Engenharia de Sistemas";"Campina, Sao Paulo, Brazil";"Business Intelligence, Commercial Real Estate, CRM, Electronics, Information Technology, Marketing Automation, Web Development"
koper;Koper;"Biguaçu, Sao Paulo, Brazil";"Computer, Software"
kovi;Kovi;"São Paulo, Sao Paulo, Brazil";"Automotive, Information Services, Information Technology, Rental, Transportation"
kpeyes;KPEyes;"São Paulo, Sao Paulo, Brazil";"Business Intelligence, CRM, SaaS"
kratos-sistema-e-contabilidade-online;"Kratos Sistema e Contabilidade Online";"Campo Grande, Sao Paulo, Brazil";"B2B, Finance, Information Technology, SaaS, Software"
kriativar-aprendizagem-criativa;"Kriativar - Aprendizagem Criativa";"Belo Horizonte, Minas Gerais, Brazil";"B2B, B2C, EdTech, Education, SaaS"
ksoslegal;Ksoslegal;"Santa Maria, Rio Grande do Sul, Brazil";"Automotive, Internet, Service Industry"
kuadro;Kuadro;"São José Dos Campos, Sao Paulo, Brazil";"E-Learning, Higher Education"
kuau;Kuau;"Vitória, Piaui, Brazil";"B2B, E-Learning, EdTech, Education, Marketplace"
kuba;Kuba;"Rio De Janeiro, Rio de Janeiro, Brazil";"Consumer Electronics, Hardware, Internet of Things"
kunumi;Kunumi;"Belo Horizonte, Minas Gerais, Brazil";"Artificial Intelligence, Machine Learning, Software Engineering"
kupoons;Kupoons;"Belo Horizonte, Minas Gerais, Brazil";Coupons
kwan-capital;"Kwan Capital";"Rio De Janeiro, Rio de Janeiro, Brazil";"Angel Investment, Consulting, Finance, Impact Investing, Venture Capital"
kyros-tecnologia;"Kyros Tecnologia";"Uberlândia, Minas Gerais, Brazil";"Billing, Information Technology, Telecommunications"
lá-vem-bebê;"Lá Vem Bebê";"São José Dos Campos, Sao Paulo, Brazil";"B2C, Baby, Events, Marketplace, Software"
lab123;Lab123;"São Paulo, Sao Paulo, Brazil";"Analytics, B2B, Big Data, Marketplace, Professional Services"
labi-exames;"Labi Exames";"São Paulo, Sao Paulo, Brazil";"Emergency Medicine, Health Care, Hospital, Medical, Test and Measurement"
lablivre;Lablivre;"Belem Do Pará, Para, Brazil";"Information Technology, Mobile Apps, Software Engineering, Web Development"
laboratorium;Laboratorium;"Brasil, Sao Paulo, Brazil";"Innovation Management, Social Entrepreneurship"
lace;LACE;"São José Dos Campos, Sao Paulo, Brazil";"Automotive, Electronics, Industrial Engineering"
laços-corporativos;"Laços Corporativos";"São Paulo, Sao Paulo, Brazil";"Human Resources, Personalization, Service Industry"
ladydriver;LadyDriver;"São Paulo, Sao Paulo, Brazil";"Apps, Information Services, Information Technology, Mobile Apps, Transportation"
lagiar;Lagiar;"Belo Horizonte, Minas Gerais, Brazil";"Artificial Intelligence, Big Data, Data Mining, E-Commerce"
lahar-digital;"Lahar Digital";"São Paulo, Sao Paulo, Brazil";"Digital Marketing, Lead Generation, Marketing Automation, Semantic Web, Social Media"
laje-tech;Laje.tech;"Londrina, Parana, Brazil";"Financial Services, Real Estate"
lalabee;Lalabee;"São Paulo, Sao Paulo, Brazil";"Accounting, Employment, Legal"
lalist;Lalist;"Curitiba, Parana, Brazil";"B2B, Big Data, Data Mining, Food and Beverage, Food Delivery, Internet, Software"
lalubema;Lalubema;"Nova Lima, Minas Gerais, Brazil";"Apps, Residential, Restaurants, Software"
lamiecco;Lamiecco;"Porto Alegre, Rio Grande do Sul, Brazil";"Innovation Management, Manufacturing, Recycling"
lança-filmes;"LANÇA FILMES";"Porto Alegre, Rio Grande do Sul, Brazil";"Digital Media, Film Distribution, Media and Entertainment"
lance-certo;"Lance Certo";"Ceará, Acre, Brazil";"Information Services, Information Technology"
landmark-3;Landmark;"Belo Horizonte, Minas Gerais, Brazil";"E-Commerce, Internet"
lapag;LaPag;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet"
lapresse-communication;"LaPresse Communication";"Rio De Janeiro, Rio de Janeiro, Brazil";"Public Relations"
lar-app-condominium-and-property-management;LAR.app;"São Paulo, Sao Paulo, Brazil";"Home Services, Property Management, Residential"
lar21;Lar21;"São Paulo, Sao Paulo, Brazil";"Computer, Enterprise Software, Software"
latu-negócios;"Latu Negócios";"Uberlândia, Minas Gerais, Brazil";"Information Technology, Logistics, Mobile, Software, Transportation"
laudos-net;Laudos.net;"Goiânia, Goias, Brazil";"Health Care, Medical"
lavaaã-com;LavaAÃ­.com;"Rio De Janeiro, Rio de Janeiro, Brazil";Fashion
lavemcasa;Lavemcasa;"Belo Horizonte, Minas Gerais, Brazil";"Apps, Information Technology, Internet, Laundry and Dry-cleaning, Service Industry, Subscription Service"
lcg-it-service;"LCG IT Service";"Porto Alegre, Rio Grande do Sul, Brazil";"Information Services, Information Technology, Software"
le-go-casting;"LE'GO Casting";"Salvador, Sao Paulo, Brazil";"Communications Infrastructure, Media and Entertainment"
le-go-soluções-digitais;"Le.go Soluções Digitais";"Santos, Minas Gerais, Brazil";"Digital Media, Information Technology, Social Media"
leadlovers;Leadlovers;"Curitiba, Parana, Brazil";Marketing
leads2b;Leads2b;"Curitiba, Parana, Brazil";"Artificial Intelligence, Big Data, SaaS, Software"
leafmotion;Leafmotion;"Rio De Janeiro, Rio de Janeiro, Brazil";"Collaboration, Communities, Photo Sharing"
lean-survey;"Lean Survey";"São Paulo, Sao Paulo, Brazil";"Crowdsourcing, Market Research"
leankeep;Leankeep;"Curitiba, Parana, Brazil";Software
learncafe;Learncafe;"Belo Horizonte, Minas Gerais, Brazil";"E-Learning, Education, Marketplace, Social Network, Training"
lebigs;Lebigs;"Poços de Caldas, Sao Paulo, Brazil";Retail
lecupon;LeCupon;"Belo Horizonte, Minas Gerais, Brazil";"B2C, Consumer, E-Commerce, Retail, Wholesale"
ledface;Ledface;"Campinas, Goias, Brazil";"Artificial Intelligence, Business Intelligence, Crowdsourcing, Information Technology, Software"
leega;Leega;"São Paulo, Sao Paulo, Brazil";"Analytics, Data Mining"
legaci-digital;"Legaci Digital";"Nova Módica, Minas Gerais, Brazil";"Digital Marketing, Email Marketing, Marketing, Retail, Sales"
legal-hub;"Legal Hub";"Curitiba, Parana, Brazil";"Advice, Legal, Legal Tech"
legal-insights;"Legal Insights";"São Paulo, Sao Paulo, Brazil";"Analytics, Legal, Software"
legal-labs;"Legal Labs";"Brasília, Rio Grande do Norte, Brazil";"Artificial Intelligence, Data Mining, Legal, Legal Tech, Machine Learning, Natural Language Processing, Software"
legalcloud;Legalcloud;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Services, Legal, Legal Tech, Software"
legalnote;LegalNote;"São Paulo, Sao Paulo, Brazil";Legal
leigado;Leigado;"Dois Vizinhos, Parana, Brazil";"Agriculture, AgTech, Apps, Software"
leiturinha;Leiturinha;"Poços de Caldas, Sao Paulo, Brazil";"Children, E-Learning, EBooks, EdTech, Education"
lema21;"Lema21 Eyewear";"São Paulo, Sao Paulo, Brazil";"Consumer, E-Commerce, Eyewear, Fashion, Internet, Lifestyle"
lemon-inteligência;"Lemon Inteligência";"Belo Horizonte, Minas Gerais, Brazil";"Business Development, Business Intelligence, Information Technology"
lemonade-technology;"Lemonade Technology";"Blumenau, Santa Catarina, Brazil";"Android, Apps, Innovation Management, iOS, Mobile"
lemure-vr;"Lemure VR";"Rio De Janeiro, Rio de Janeiro, Brazil";"Augmented Reality, Information Services, Information Technology, Social, Virtual Reality"
lernanto;Lernanto;"São Paulo, Sao Paulo, Brazil";"EdTech, Education, Information Services, Information Technology, Publishing"
lesense;LEsense;"São José, Santa Catarina, Brazil";"B2B, Construction, Hardware, SaaS, Software"
lets-events;Lets.events;"Belo Horizonte, Minas Gerais, Brazil";"Event Management, Event Promotion, Events, Ticketing"
letspark;LetsPark;"São Paulo, Sao Paulo, Brazil";"Apps, Information Technology, Parking"
levarti-turismo-de-experiência;"Levarti Turismo de Experiência";"Fortaleza, Mato Grosso do Sul, Brazil";"Adventure Travel, Leisure, Mobile Apps, Tourism, Travel"
levee;Levee;"São Paulo, Sao Paulo, Brazil";"Apps, Employment, Information Technology, Mobile, SMS"
levoo-entregas-rápidas;"Levoo - Entregas Rápidas";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Logistics, Marketplace, Transportation"
li3-energy;"Li3 Energy";"Stio Pedro S. Lima, Sao Paulo, Brazil";"Mineral, Mining, Mining Technology"
liber-educação;"Liber Educação";"Rio De Janeiro, Rio de Janeiro, Brazil";"B2C, EdTech, Education, Logistics, Marketplace"
libro-studio;"Libro Studio";"Recife, Bahia, Brazil";"Digital Media, EBooks, Education, Publishing"
licita-plus;Licita.plus;"Maringá, Parana, Brazil";"Government, Information Technology, Marketing, Sales"
life-on;"Life On";"Porto Alegre, Rio Grande do Sul, Brazil";"Credit Cards, Debit Cards, E-Commerce, Software, Web Development"
life-up;"Life UP";"Recife, Bahia, Brazil";"Consulting, Information Technology, Software"
lifenroll;LifenRoll;"Sorocaba, Sao Paulo, Brazil";"EdTech, Education, Lifestyle"
lifepet-saúde;"Lifepet Saúde";"Vitória, Piaui, Brazil";"Emergency Medicine, Health Care, Medical, Pet, Veterinary"
liga-ventures;"Liga Ventures";"São Paulo, Sao Paulo, Brazil";"Information Technology"
ligflat-telecom;"LigFlat Telecom";"Uberlândia, Minas Gerais, Brazil";"Telecommunications, VoIP, Wireless"
liggi;Liggi;"São Paulo, Sao Paulo, Brazil";"Consumer Electronics, Information Technology, Mobile"
lighthouse-true-mobile-innovation;"Lighthouse - True Mobile Innovation";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Mobile, Service Industry"
lilibox;Lilibox;"Curitiba, Parana, Brazil";Retail
limaslab;Limaslab;"São Carlos, Rondonia, Brazil";"Android, iOS, Mobile, Software, Web Apps"
limelocker;Limelocker;"São Paulo, Sao Paulo, Brazil";"CleanTech, E-Commerce, Internet of Things, Laundry and Dry-cleaning, Professional Services"
limosapp;LimosApp;"Indaiatuba, Sao Paulo, Brazil";"Apps, Food and Beverage, Mobile Apps, Restaurants, Social Network"
lincros;LINCROS;"Blumenau, Santa Catarina, Brazil";"Information Services, Information Technology, Logistics"
link2business;Link2Business;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Computer, Information Technology, SaaS, Software"
linkadu;Linkadu;"Porto Alegre, Rio Grande do Sul, Brazil";"Collaboration, Content, Information Services, Internet"
linkapi;LinkApi;"São Paulo, Sao Paulo, Brazil";"PaaS, SaaS, Software"
linkbiz-marketing-digital;Linkbiz;"Brasília, Rio Grande do Norte, Brazil";"Apps, Search Engine, SEO"
linkei-me;Linkei.me;"Santana De Parnaíba, Sao Paulo, Brazil";"Business Development, Management Consulting, Small and Medium Businesses"
linkest;Linkest;"São Paulo, Sao Paulo, Brazil";"Internet, Web Apps"
linklei;LinkLei;"Caxias Do Sul, Rio Grande do Sul, Brazil";"B2B, B2C, Legal, Legal Tech, SaaS"
linkmotors;LinkMotors;"São Paulo, Sao Paulo, Brazil";"Automotive, Classifieds, Financial Exchanges, Online Portals, Sales"
linoleum;Linoleum;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Fashion, Retail"
linte;Linte;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Cloud Infrastructure, Document Management, Legal, Legal Tech, Marketplace, SaaS, Software"
litelims-2;LiteLiMS;"Joinville, Santa Catarina, Brazil";"Computer, Management Information Systems, SaaS, Software, Virtual Workforce"
liuv;Liuv;"São Paulo, Sao Paulo, Brazil";"Apps, Loyalty Programs, Mobile Payments"
liv-up;"Liv Up";"São Paulo, Sao Paulo, Brazil";"Food and Beverage, Food Processing, Organic Food"
livebus;Livebus;"Praia Grande, Amazonas, Brazil";"Information Technology, Internet, Public Transportation, Software, Transportation"
liveli-me;Liveli.me;"Rio De Janeiro, Rio de Janeiro, Brazil";"Hospitality, Tourism, Vacation Rental"
livenglish-imersão-em-inglês;"LivEnglish Imersão em Inglês";"Ibiúna, Sao Paulo, Brazil";"Education, Social"
livesubs;LiveSubs;"São Paulo, Sao Paulo, Brazil";"Internet, Presentations, Translation Service, Video"
livetrack;LIVETRACK;"Osasco, Sao Paulo, Brazil";"Information Services, Information Technology, Real Time, Software"
livingnethos;LivingNethos;"São Paulo, Sao Paulo, Brazil";"Developer Platform, Information Services, Social Network"
livre-fm;livre.fm;"São Paulo, Sao Paulo, Brazil";"Audio, Broadcasting, Internet, Internet Radio, Software"
lix0-sell-your-waste;"Lix0 - Sell your Waste";"Rio De Janeiro, Rio de Janeiro, Brazil";"Communities, Environmental Consulting, Environmental Engineering, Recycling, Waste Management"
llab-solutions;"LLAB Solutions";"Salvador, Sao Paulo, Brazil";"Computer, Information Technology, Software"
localchef;LocalChef;"São Paulo, Sao Paulo, Brazil";"Food and Beverage, Food Delivery, Service Industry"
localwander;"Local Wander";"Rio De Janeiro, Rio de Janeiro, Brazil";"Internet, Leisure, Messaging, Social Media Management, Travel"
lockey;Lockey;"Belo Horizonte, Minas Gerais, Brazil";"Internet, Real Estate, Rental, Residential, Web Browsers"
loft-br;Loft;"Brasil, Sao Paulo, Brazil";"Information Services"
logbee;Logbee;"São Paulo, Sao Paulo, Brazil";"Delivery, Delivery Service, Software"
logcomex;LogComex;"Curitiba, Parana, Brazil";"Business Development, Information Technology, Logistics, Marine Transportation, Ports and Harbors, SaaS, Software"
loggi;Loggi;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet, Logistics, Same Day Delivery"
logicus-soluções-em-linux;Logicus;"Curitiba, Parana, Brazil";"Corporate Training, Data Center Automation, Education, Information Technology, Linux"
logochef;LogoChef;"Rio De Janeiro, Rio de Janeiro, Brazil";"Graphic Design, Software"
logou;Logou;"São Paulo, Sao Paulo, Brazil";"Employment, Human Resources, Recruiting"
logovia;Logovia;"São Paulo, Sao Paulo, Brazil";"Crowdsourcing, Graphic Design, Web Design"
logstore-brazil;"Logstore Brazil";"São Paulo, Sao Paulo, Brazil";"B2B, E-Commerce, Hardware, Logistics, Supply Chain Management"
lojista-online;"Lojista Online";"Uberlândia, Minas Gerais, Brazil";"Cloud Data Services, E-Commerce, E-Commerce Platforms"
lokkan;Lokkan;"Jardim Paulista, Sao Paulo, Brazil";"Property Management, Real Estate, Rental"
lonkhe;Lonkhe;"Patos De Minas, Minas Gerais, Brazil";"B2B, Big Data, Document Management"
look-br;"Look BR";"Belo Horizonte, Minas Gerais, Brazil";"Beauty, Consumer Goods, Fashion"
looke;Looke;"São Paulo, Sao Paulo, Brazil";"Media and Entertainment, Online Portals, Video Streaming"
loop-bike-sharing;"Loop Bike Sharing";"Porto Alegre, Rio Grande do Sul, Brazil";"Sharing Economy, Transportation, Travel"
loopimóveis-com;Loopimóveis.com;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet, Real Estate"
loopkey;LoopKey;"Brasília, Rio Grande do Norte, Brazil";"Cyber Security, Hardware, Internet of Things, Mobile Devices"
looqbox;Looqbox;"São Paulo, Sao Paulo, Brazil";"Big Data, Business Intelligence, Computer, Information Technology, Software"
loox-studios;"Loox Studios";"Curitiba, Parana, Brazil";"Augmented Reality, Information Technology, Video, Virtual Reality"
lorenzani-consultoria;"Lorenzani Consultoria Empresarial";"São Paulo, Sao Paulo, Brazil";"Advice, Business Development, Consulting, Corporate Training, Professional Services"
lote-42;"Lote 42";"São Paulo, Sao Paulo, Brazil";"EBooks, Publishing"
lotebox;LOTEBOX;"São Paulo, Sao Paulo, Brazil";"Enterprise Software, Logistics, SaaS, Shipping, Transportation"
lotenet;Lotenet;"Belo Horizonte, Minas Gerais, Brazil";"Real Estate"
loucas-por-descontos-crazy-for-discounts;"Loucas por Descontos";"São José Dos Campos, Sao Paulo, Brazil";"Coupons, E-Commerce, Internet, Marketing, Shopping"
loud-voice-services;"Loud Voice Services";"São Paulo, Sao Paulo, Brazil";"Information Technology, Internet"
love-mondays;"Love Mondays";"Pinheiros, Sao Paulo, Brazil";"Recruiting, Social Media"
lovedspace;LOVEDSPACE;"Rio De Janeiro, Rio de Janeiro, Brazil";"Commercial Real Estate, Marketplace, Retail, Sharing Economy"
lua4;Lua4;"Natal, Rio Grande do Sul, Brazil";"Information Services, Information Technology, Marketing, Web Design"
luca-ciência-para-educar;"LUCA - Ciência para Educar";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Consumer, EdTech, Education"
lumabyte;Lumabyte;"Manaus, Amazonas, Brazil";"Computer, Information Technology, Mobile Apps, Software, Web Development"
lumina-it;"Lumina IT";"São Paulo, Sao Paulo, Brazil";"Construction, Information Technology, Internet, Product Search, Software"
lumiun;Lumiun;"Ijuí, Rio Grande do Sul, Brazil";"Cloud Computing, Internet, Security"
lunes;Lunes;"Cajamar, Sao Paulo, Brazil";"Blockchain, FinTech, Payments"
lunix-inteligência-em-energia;"Lunix Inteligência em Energia";"Rio Grande Do Sul, Rio Grande do Sul, Brazil";"Energy Efficiency, Energy Management, Lighting"
luvpet;LuvPet;"Porto Alegre, Rio Grande do Sul, Brazil";"Developer Platform, Information Services, Pet"
luxvision;Luxvision;"Curitiba, Parana, Brazil";Electronics
luztr;Luztr;"São Paulo, Sao Paulo, Brazil";"Advertising, Big Data, CRM, Market Research, Marketing"
m2-agro;"M2 Agro";"Blumenau, Santa Catarina, Brazil";"Agriculture, Big Data, Farming, Industrial Automation"
m3-energias-renovaveis;"M3 Energias Renovaveis";"Rio De Janeiro, Rio de Janeiro, Brazil";"Customer Service, Energy, Solar"
mabill-serviços-ltda;"Mabill Serviços LTDA";"Uberlândia, Minas Gerais, Brazil";"FinTech, Mobile Payments, Payments"
mad-mimic-interactive;"Mad Mimic Interactive";"São Paulo, Sao Paulo, Brazil";Internet
madcode-escola-de-programação;"MadCode Escola de Programação";"Rio De Janeiro, Rio de Janeiro, Brazil";"Education, Software Engineering"
made-in-natural;"Made in Natural";"Brasil, Sao Paulo, Brazil";"Delivery, Food and Beverage, Nutrition, Organic Food, Snack Food, Subscription Service, Wellness"
madeiramadeira;MadeiraMadeira;"Curitiba, Parana, Brazil";"E-Commerce, Furniture, Home and Garden, Home Decor, Home Improvement, Marketplace"
madero;Madero;"Curitiba, Parana, Brazil";"Automotive, Food and Beverage, Hospitality"
madtech-startup;"MadTech Startup";"Belém, Paraiba, Brazil";"Environmental Engineering, Recycling, Waste Management"
mãeguru;Mãeguru;"São Paulo, Sao Paulo, Brazil";"Apps, Social Assistance, Social Network, Virtual Assistant, Women's"
magen-linux;"MAGEN Linux";"Pelotas, Rio Grande do Sul, Brazil";"Linux, Marketing, Network Security, Sales, Software"
magenta-biolabs;"Magenta Biolabs";"Costa Rica, Mato Grosso do Sul, Brazil";"Biotechnology, Cosmetics, Manufacturing"
magnetis;Magnetis;"São Paulo, Sao Paulo, Brazil";"Advice, Financial Services, FinTech"
magnus-d48b;Magnus;"São Paulo, Sao Paulo, Brazil";"Health Care, Medical, SaaS"
magnus-gyan;"Magnus Gyan";"Botafogo, Rio de Janeiro, Brazil";"Content, Education, Language Learning"
maha;MAHA;"Uberlândia, Minas Gerais, Brazil";"Information Technology"
mailee-me;Mailee;"Gravataí, Rio Grande do Sul, Brazil";"Digital Marketing, Email Marketing, Information Technology, Internet, Software"
mailerweb;MailerWeb;"Rio De Janeiro, Rio de Janeiro, Brazil";"Affiliate Marketing, Email Marketing, Marketing"
maino-systems;"Maino Systems";"Rio De Janeiro, Rio de Janeiro, Brazil";"Business Development, Information Technology, Software"
mais-arquitetos;"Mais Arquitetos";"Belo Horizonte, Minas Gerais, Brazil";"B2C, Information Technology, Marketplace, Professional Services, Software"
mais-controle;"Mais Controle";"Juiz De Fora, Minas Gerais, Brazil";"Construction, Project Management, Software"
mais-retorno;"Mais Retorno";"Bela Vista, Sao Paulo, Brazil";"Content, Financial Services, Information Services"
mais-shows;"Mais Shows";"Canoas, Rio Grande do Sul, Brazil";"Information Services, Information Technology, Software"
mais-soluções-inteligentes;"Mais Soluções Inteligentes";"Lages, Santa Catarina, Brazil";"Electronics, GPS, Hardware, Information Services, Information Technology, Internet of Things, Supply Chain Management"
mais-valor;"Mais Valor";"Limeira, Santa Catarina, Brazil";"Business Development, Financial Services, Social Entrepreneurship"
maisapp;MaisApp;"Juiz De Fora, Minas Gerais, Brazil";"Information Technology"
makadu;Makadu;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, Events, Mobile"
make-it-easy-idiomas;"Make It Easy Idiomas";"Belo Horizonte, Minas Gerais, Brazil";"E-Learning, Education, Language Learning"
makeplace;Makeplace;"São Paulo, Sao Paulo, Brazil";"Event Management, Event Promotion, Events"
makerplanet-informática;"MakerPlanet Informática";"Salvador, Sao Paulo, Brazil";"Developer APIs, Information Services, Information Technology"
maleta-do-engenheiro;"Maleta do Engenheiro";"Goiânia, Goias, Brazil";"Architecture, Document Management, Industrial Engineering, Information and Communications Technology (ICT), SaaS"
malgueiro-campos-advocacia;"Malgueiro Campos Advocacia";"São Paulo, Sao Paulo, Brazil";"Advice, Business Development, Consulting, Legal, Legal Tech"
malware-patrol;"Malware Patrol";"São Paulo, Sao Paulo, Brazil";"Big Data, Cloud Security, Cyber Security"
manabu-academy;"Manabu Academy";"São Paulo, Sao Paulo, Brazil";"Apps, Information Technology, Language Learning"
mandaê;Mandaê;"São Paulo, Sao Paulo, Brazil";"Delivery, E-Commerce, Location Based Services, Mobile, Shipping"
mandala-comidas-especiais;"Mandala Comidas Especiais";"São Paulo, Sao Paulo, Brazil";"Food and Beverage, Nutrition, Wellness"
mandinga-cursos-criativos-e-consultoria;"Mandinga Cursos Criativos e Consultoria";"São Paulo, Sao Paulo, Brazil";"Analytics, Google, Information Technology, Internet, Software"
manejebem;ManejeBem;"Biguaçu, Sao Paulo, Brazil";"Agriculture, Communities, Social Network"
manicury-app;"Manicury App";"Sorocaba, Sao Paulo, Brazil";"Beauty, Fashion, Information Technology, Marketplace, Software"
manifesto-games-studio;"Manifesto Games Studio";"Recife, Bahia, Brazil";"Mobile, Outsourcing"
manipulae;Manipulae;"São Paulo, Sao Paulo, Brazil";"Business Information Systems, Information Technology, Pharmaceutical"
manu-cmms;"Manu CMMS";"Canoas, Rio Grande do Sul, Brazil";"Computer, Information Technology, Software"
